Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0000e8b4-1361-41b9-b11d-bcd26d4c5ee1	851	0.994	162.794	19.13%	31.515	11.178%	0.09943	0.993
0000f086-7e12-4778-bdca-959761c1d39e	27	0.598	33.03	122.333%	5.029	80.528%	1.37971	0.457
0001310d-964e-4c94-bde5-0510e5b76bb9	66	0.766	61.776	93.6%	8.541	64.38%	0.8007	0.668
000dcbf6-d976-41a6-9086-1ee080ea6a55	26	0.854	27.102	104.238%	4.644	53.27%	1.04895	0.84
000f237f-f77b-46db-ac6b-00b127be25cf	64	0.792	62.266	97.291%	8.2	61.119%	0.79463	0.715
00129ada-3434-4334-a881-3aed765c8765	20	0.882	15.066	75.33%	3.818	48.489%	1.22169	0.874
00187151-a31d-4bc9-a86b-a4a4c9ecd596	72	0.846	60.741	84.362%	7.798	53.557%	0.62205	0.788
002278c2-89ad-4ae7-a91c-9a7e9e060e5b	23	0.526	29.626	128.809%	4.904	85.368%	1.45874	0.37
002b91da-89f0-4641-b694-6cc129785198	113	0.883	72.184	63.88%	10.401	47.424%	0.45277	0.836
002c911e-0d8a-4bce-84af-341a32cae334	281	0.885	132.409	47.121%	18.431	46.982%	0.25197	0.739
002dea57-3ed5-4779-ae8c-d78bb4816c6d	1248	0.992	262.021	20.995%	54.589	12.749%	0.10041	0.991
00326327-8da5-4226-a894-2e4e1d5acd45	57	0.885	46.764	82.042%	7.697	47.462%	0.81962	0.867
0037b1a5-d169-4359-93a5-3cf2f7df5189	14	0.73	11.385	81.321%	3.014	71.041%	1.58631	0.693
004076c4-d477-48da-8b11-539234a151d6	34	0.853	25.901	76.179%	4.572	53.148%	0.84298	0.823
004897bf-5189-4d09-baa3-d45cdde4985a	49	0.929	29.167	59.524%	4.897	37.231%	0.60111	0.917
0052e379-29be-4d2f-8694-25bb38c6cdc5	14	0.633	16.478	117.7%	3.12	78.0%	1.57121	0.563
0058a7f0-5932-49c8-965f-8ae3b6f2fd33	52	0.939	38.468	73.977%	5.66	34.446%	0.70461	0.932
005b4061-cd2f-45e3-ad3c-d007d262922e	48	0.8	43.75	91.146%	6.97	62.094%	0.97833	0.75
005fd38d-82e6-43f7-9c4e-dc217a51c87d	10	0.705	10.425	104.25%	3.668	78.202%	2.20748	0.69
00629fb9-87ea-4a5f-b1a2-953101e1af5e	10	0.647	14.906	149.06%	3.08	77.0%	1.83343	0.618
0063b637-db39-4eb8-9b04-cb8e8f0c0711	210	0.844	127.793	60.854%	17.618	54.216%	0.36889	0.711
0064e12a-1660-46df-957d-1b191c95a1ae	1233	0.982	288.339	23.385%	81.074	19.337%	0.10717	0.98
006514bc-9d7b-4367-93aa-c2def6f37711	36	0.751	34.309	95.303%	5.777	74.581%	1.2205	0.688
00657e23-e387-4f47-9608-e0cd2fabbf11	82	0.889	55.023	67.101%	8.227	50.827%	0.64116	0.857
00664dfb-18e7-44b0-b9be-c5912be41376	49	0.667	48.167	98.3%	6.784	76.326%	0.94543	0.471
006f73cc-9f2b-4b12-9196-9443e8dae1a5	15	0.626	19.035	126.9%	3.23	78.339%	1.66802	0.544
00720825-d8f9-4396-be8c-12c13ee440df	33	0.912	20.032	60.703%	3.942	43.269%	0.80755	0.899
007ddf7f-3d76-4cab-81ef-f98007b97ef6	73	0.945	49.588	67.929%	6.658	32.841%	0.55719	0.936
00806148-d63b-457d-8908-bcbdd30543bc	102	0.955	55.977	54.879%	10.399	29.821%	0.45507	0.951
00901f2f-afc8-499f-b990-39d81fd66227	53	0.868	43.031	81.191%	6.991	62.035%	1.08055	0.843
009254a2-ea81-4c76-8044-7267a9f81364	166	0.87	91.813	55.309%	12.951	49.375%	0.33558	0.763
009270e7-74ff-48ae-bf18-6b027cf83fdf	45	0.722	45.417	100.927%	6.133	69.892%	0.94055	0.592
00986e81-8c67-4d5a-9cfe-f41d6110d7a6	76	0.779	66.185	87.086%	8.679	64.333%	0.73799	0.658
009b4458-4158-41ef-816f-ed7e4eecba48	53	0.905	43.594	82.253%	7.388	44.39%	0.84066	0.894
009c9a3c-f28e-42ce-84ce-452bfa3e764d	1	0.988	0.657	65.7%	0.345	34.5%	0.39828	0.989
009cd332-fda7-4dc2-861a-a16c6fdf9a07	18	0.817	16.193	89.961%	3.273	57.859%	0.92689	0.792
009dd5db-b6a3-475b-815c-0b4904fcb925	5	0.641	5.649	112.98%	1.725	77.144%	2.03468	0.616
009ea716-367b-47bb-b755-c2a6cb714bca	38	0.719	38.293	100.771%	5.565	73.072%	1.04714	0.613
00a05d61-752b-4680-a602-d9520f3e57cf	52	0.859	40.753	78.371%	6.869	56.848%	0.94594	0.83
00a6589b-6c02-4b41-b363-fb5e7151675b	27	0.631	32.314	119.681%	4.762	78.287%	1.17407	0.501
00a963bf-2a4b-448d-af0a-4dae5060fa4e	154	0.983	51.111	33.189%	7.888	19.109%	0.30103	0.981
00b347a4-2eb5-43f8-9244-8d854fdfee11	17	0.755	17.024	100.141%	3.024	65.989%	1.15732	0.706
00b45cd7-3075-4c04-9dcc-5fbe1ea97506	46	0.882	32.193	69.985%	4.975	48.321%	0.59163	0.854
00be7f02-1b20-4dfa-94ee-135d4a092cc1	58	0.864	42.621	73.484%	6.345	51.807%	0.7595	0.822
00c046a5-b243-4f40-b107-bcd1c07d0918	13	0.787	11.657	89.669%	2.547	61.774%	1.31343	0.758
00c59ad8-f8f6-4809-ae0d-efa2f9e4409e	5	0.744	5.884	117.68%	1.553	69.452%	1.24587	0.733
00c67a0d-7622-49f2-9f07-7f07a8c8f89f	20	0.731	21.341	106.705%	3.482	68.288%	1.16286	0.667
00cb0e0d-41dd-46f4-85c4-1e538405aee7	2	0.661	2.656	132.8%	1.083	76.58%	2.66316	0.654
00cb3ae0-72c9-455e-93fc-38e5cdbf4588	16	0.654	24.031	150.194%	4.171	76.152%	1.73448	0.612
00cea6c6-c688-4954-87e4-6a1fb36dc63e	17	0.76	21.177	124.571%	4.062	65.044%	1.63944	0.737
00d28b32-0dca-43be-8d91-6bed235fcbaf	2	0.65	2.235	111.75%	1.075	76.014%	4.22543	0.641
00d98b84-4417-4c1f-b75e-ec4d788c0a78	73	0.893	51.733	70.867%	7.905	46.182%	0.65855	0.867
00da3290-177b-4b88-9de8-cac33e6c66b8	20	0.714	21.192	105.96%	3.578	70.17%	1.25587	0.645
00dbc272-120a-48bf-9a8c-fe8e8fc48104	54	0.713	52.813	97.802%	8.126	70.198%	0.89669	0.606
00de279a-ceb9-45c1-9e8b-1e049361aa47	170	0.886	83.184	48.932%	10.886	47.02%	0.27277	0.73
00e6557d-9213-4d77-9311-66939b656637	8	0.568	11.9	148.75%	2.602	82.282%	2.02266	0.524
00e6ac99-0578-4aec-8188-7ef5f3ffe406	38	0.599	48.391	127.345%	6.745	80.618%	1.29326	0.438
00e8051d-7a1b-42f5-a66c-3c3921819fc4	33	0.744	32.924	99.77%	4.787	67.031%	0.92427	0.655
00f05757-96c3-40e7-be6b-e1765253e050	77	0.942	53.644	69.668%	8.618	35.51%	0.70473	0.935
00f15a51-5707-4974-a391-9d00ed68fb4f	87	0.897	63.872	73.416%	9.372	44.528%	0.61307	0.873
00f2233f-46a8-4324-8674-9de35a27b5c2	14	0.633	18.016	128.686%	3.288	77.499%	1.93581	0.57
00f3c1b6-ee6f-4e03-8212-73ddc7c9c55b	7	0.687	9.153	130.757%	1.983	74.95%	1.43727	0.667
00f76ccf-6daf-414f-83c5-501a44739a72	109	0.898	85.068	78.044%	13.828	48.201%	0.70872	0.882
00fa190c-aecb-4cb7-9c58-b7d0b9856289	91	0.927	65.041	71.474%	11.501	38.105%	0.66297	0.919
00ff96c0-74fd-4059-ad77-22373d5eb44f	81	0.747	77.612	95.817%	9.768	67.246%	0.7944	0.598
01018daa-ec69-47e3-af7b-1cb5002ce9ea	109	0.94	59.832	54.892%	9.248	34.346%	0.36968	0.927
010427c5-94f5-4ba9-a77b-a480823733bd	55	0.871	40.119	72.944%	6.885	52.346%	0.81434	0.844
01058e4b-bc19-4ad1-afac-f6260883be24	26	0.73	26.066	100.254%	5.821	72.762%	1.63037	0.696
0108530b-fc55-4179-9f95-9529f5cb441c	295	0.983	112.98	38.298%	22.25	25.414%	0.29989	0.983
010a8252-dfd3-40f7-82c9-391474c0572f	70	0.774	59.791	85.416%	7.508	63.454%	0.65272	0.61
010ba621-7ec1-452e-9115-b7ec5f9b37d2	141	0.859	90.002	63.831%	12.78	51.618%	0.41214	0.781
010e75f4-e7f3-46af-bdad-9fd95364ee92	80	0.743	67.423	84.279%	9.106	67.498%	0.68751	0.555
010f5e2d-0b95-4055-aa94-35ce9e28fd78	14	0.728	15.577	111.264%	3.236	68.992%	1.51247	0.695
011c56ad-3132-4257-ba87-9027eba62107	27	0.507	35.766	132.467%	5.114	86.442%	1.35061	0.25
011f38fd-1c18-49b1-94a8-e5e22c81f62f	1	0.811	1.358	135.8%	0.717	71.7%	1.13565	0.817
01219ecd-2bcc-4100-85ff-abc903ad6ce3	10	0.642	12.86	128.6%	2.69	77.654%	1.92087	0.599
0121a6c3-c7ae-4619-b07a-27bb28541478	549	0.969	175.132	31.9%	23.939	24.788%	0.12526	0.954
0128e664-cadc-4798-8a24-9b43e18d5c2f	82	0.775	65.038	79.315%	8.533	63.958%	0.58858	0.599
0129a73e-644f-4933-9744-943a2006391c	24	0.771	27.585	114.938%	4.05	64.036%	1.17923	0.725
012a7064-fbc2-452e-9c16-b518a6e9ed91	4	0.718	4.151	103.775%	1.715	70.015%	2.89988	0.708
013e3d9d-872d-4277-914e-1fd8e79ce921	43	0.913	33.029	76.812%	4.917	40.833%	0.74587	0.899
01402468-021e-4146-9b08-1df7223a39c2	9	0.53	13.006	144.511%	2.817	84.936%	1.87925	0.471
01434f05-b42b-4a86-a8c6-007c65797865	56	0.772	51.545	92.045%	6.722	64.092%	0.7535	0.658
014995e8-a0b6-413d-90c7-7f23e4eef15a	31	0.648	35.554	114.69%	5.22	76.142%	1.11244	0.513
014c456f-1f92-4203-bbf4-a115b9c32ca8	185	0.975	60.682	32.801%	13.502	22.364%	0.21217	0.972
0156ded1-a016-4d6c-a389-010d18aba7b7	20	0.869	14.297	71.485%	3.128	49.458%	1.06425	0.853
0163d956-f4c0-4c72-8687-157b8a28e020	243	0.941	122.718	50.501%	17.614	36.067%	0.35319	0.923
016aa050-2909-4dca-a6f3-c73e285a6b24	23	0.796	27.522	119.661%	5.452	65.634%	1.08321	0.793
016ad390-f4f4-4223-b3fc-5ff08fc297ad	8	0.752	9.425	117.813%	2.466	65.907%	1.94395	0.738
016bbfe2-53fa-4def-9f1e-2bacdfeea18d	3	0.612	4.581	152.7%	1.425	82.272%	1.54603	0.607
0170b7e9-fc21-4735-bcc8-54e6693da3ab	24	0.737	24.128	100.533%	3.449	67.64%	0.94643	0.637
0176137f-e4f4-4a16-9eb5-874b8735034c	9	0.486	14.358	159.533%	2.63	87.667%	1.81707	0.404
01769933-3d6c-42da-905e-d12f00adf6eb	22	0.813	20.362	92.555%	3.772	58.203%	0.99529	0.784
017a9282-04d8-4ab0-9c8b-d716efc0065a	93	0.796	70.565	75.876%	9.238	61.862%	0.68801	0.64
017b9630-3fa4-48cf-92e2-273ffe28db8b	7	0.767	7.264	103.771%	2.942	64.2%	1.57156	0.761
017db8eb-a921-414e-a8a3-ab043cffe6d7	119	0.891	77.744	65.331%	10.342	47.452%	0.49374	0.844
017e1ebe-0e7c-46a1-8cc4-3efee98e9f9a	1	0.358	1.893	189.3%	0.957	95.7%	2.92459	0.396
017e985d-cabd-43d3-90d4-3c7532f41a0a	8	0.731	9.307	116.338%	1.982	70.074%	1.04278	0.708
01817ed3-26bd-4175-aec1-3720d00b2224	14	0.856	10.852	77.514%	2.523	53.791%	1.24204	0.841
0182902d-bb3b-4b9d-bb2a-1b00c14e3b11	41	0.839	34.265	83.573%	5.849	57.08%	1.05738	0.807
0182a0be-8c0e-4372-b8a1-6db379d65620	42	0.854	32.62	77.667%	4.499	53.021%	0.80552	0.801
018585e6-1e12-4bee-9292-a9c58f7cc47f	8	0.616	10.646	133.075%	3.152	84.241%	2.76945	0.595
018a5ef0-94dc-410d-82a2-019da78ec3ac	15	0.728	17.127	114.18%	3.142	68.564%	1.54428	0.686
018c456e-b983-4fac-8859-4e9519ddbde9	4218	0.974	1207.009	28.616%	205.641	22.54%	0.08761	0.967
018dc36d-28d3-4f02-89b7-388507fb4efb	75	0.842	60.005	80.007%	7.833	53.925%	0.62877	0.773
01913850-b4a1-4459-8e26-ab89fac5ba98	58	0.889	40.083	69.109%	5.856	46.009%	0.56929	0.856
0191bbad-8849-43af-b16d-1ccaf474eafb	10	0.418	16.993	169.93%	3.148	90.875%	2.24786	0.31
